,sep,sep2,dT,peak,mult,bl1,bl2
296, 23_49, 23_49, 0.0, 12127.9726, 1296, 189.987087281, 189.987087281
297, 0_182, 0_182, 0.0, 12127.9726, 5625, 146.243130893, 146.243130893
298, 0_59, 0_59, 0.0, 12127.9726, 2809, 114.029645268, 114.029645268
299, 5_50, 5_50, 0.0, 12127.9726, 2809, 114.029645268, 114.029645268
300, 0_42, 0_42, 0.0, 12127.9726, 14161, 75.8638253715, 75.8638253715
301, 1_226, 1_226, 0.0, 12127.9726, 784, 189.987087281, 189.987087281
302, 47_164, 47_164, 0.0, 12127.9726, 3721, 125.876500322, 125.876500322
303, 0_204, 0_204, 0.0, 12127.9726, 2704, 169.2172962, 169.2172962
304, 1_196, 1_196, 0.0, 12127.9726, 2704, 169.2172962, 169.2172962
305, 0_194, 0_194, 0.0, 12127.9726, 289, 244.885714841, 244.885714841
306, 127_155, 127_155, 0.0, 12127.9726, 2704, 178.414947057, 178.414947057
307, 0_48, 0_48, 0.0, 12127.9726, 3721, 164.101228921, 164.101228921
308, 4_166, 4_166, 0.0, 12127.9726, 961, 127.558666242, 127.558666242
309, 0_168, 0_168, 0.0, 12127.9726, 2704, 174.183160304, 174.183160304
310, 1_277, 1_277, 0.0, 12127.9726, 100, 233.752033859, 233.752033859
311, 2_11, 2_11, 0.0, 12127.9726, 43681, 38.6279691415, 38.6279691415
312, 23_162, 23_162, 0.0, 12127.9726, 3600, 117.103771644, 117.103771644
313, 2_295, 2_295, 0.0, 12127.9726, 289, 234.662168517, 234.662168517
314, 5_61, 5_61, 0.0, 12127.9726, 2601, 80.4105299904, 80.4105299904
315, 109_163, 109_163, 0.0, 12127.9726, 2601, 80.4105299904, 80.4105299904
316, 4_292, 4_292, 0.0, 12127.9726, 36, 228.215015574, 228.215015574
317, 47_158, 47_158, 0.0, 12127.9726, 2601, 193.874220394, 193.874220394
318, 61_157, 61_157, 0.0, 12127.9726, 2601, 194.42318106, 194.42318106
319, 0_233, 0_233, 0.0, 12127.9726, 2601, 184.869287155, 184.869287155
320, 0_74, 0_74, 0.0, 12127.9726, 2601, 114.029645268, 114.029645268
321, 4_47, 4_47, 0.0, 12127.9726, 3249, 93.864867407, 93.864867407
322, 50_154, 50_154, 0.0, 12127.9726, 121, 255.117332483, 255.117332483
323, 22_275, 22_275, 0.0, 12127.9726, 100, 204.573735688, 204.573735688
324, 0_112, 0_112, 0.0, 12127.9726, 3364, 181.377212828, 181.377212828
325, 127_162, 127_162, 0.0, 12127.9726, 2601, 80.4105299904, 80.4105299904
326, 0_132, 0_132, 0.0, 12127.9726, 1936, 206.647171123, 206.647171123
327, 0_236, 0_236, 0.0, 12127.9726, 3249, 181.377212828, 181.377212828
328, 50_161, 50_161, 0.0, 12127.9726, 2025, 94.9935436403, 94.9935436403
329, 8_292, 8_292, 0.0, 12127.9726, 36, 212.746265145, 212.746265145
330, 0_32, 0_32, 0.0, 12127.9726, 2601, 119.506150469, 119.506150469
331, 159_166, 159_166, 0.0, 12127.9726, 2401, 102.547029861, 102.547029861
332, 36_162, 36_162, 0.0, 12127.9726, 2401, 109.581081092, 109.581081092
333, 24_155, 24_155, 0.0, 12127.9726, 2704, 124.171548002, 124.171548002
334, 22_279, 22_279, 0.0, 12127.9726, 36, 189.8, 189.8
335, 0_228, 0_228, 0.0, 12127.9726, 625, 216.716989028, 216.716989028
336, 9_155, 9_155, 0.0, 12127.9726, 9, 236.471929271, 236.471929271
337, 0_248, 0_248, 0.0, 12127.9726, 121, 251.329292629, 251.329292629
338, 22_160, 22_160, 0.0, 12127.9726, 2025, 196.060840897, 196.060840897
339, 5_34, 5_34, 0.0, 12127.9726, 2401, 83.0191142649, 83.0191142649
340, 22_313, 22_313, 0.0, 12127.9726, 1, 251.753000644, 251.753000644
341, 150_155, 150_155, 0.0, 12127.9726, 400, 227.279064881, 227.279064881
342, 0_253, 0_253, 0.0, 12127.9726, 2304, 194.42318106, 194.42318106
343, 135_291, 135_291, 0.0, 12127.9726, 4, 223.496070062, 223.496070062
344, 82_155, 82_155, 0.0, 12127.9726, 1156, 65.8350463912, 65.8350463912
