,sep,sep2,dT,peak,mult,bl1,bl2
800, 5_11, 5_11, 0.0, 12127.9726, 14161, 81.2893596973, 81.2893596973
801, 158_187, 158_187, 0.0, 12127.9726, 1936, 124.171548002, 124.171548002
802, 98_186, 98_186, 0.0, 12127.9726, 441, 149.129786875, 149.129786875
803, 4_34, 4_34, 0.0, 12127.9726, 2916, 97.2115905298, 97.2115905298
804, 4_36, 4_36, 0.0, 12127.9726, 9025, 88.8083329424, 88.8083329424
805, 0_26, 0_26, 0.0, 12127.9726, 42849, 38.6279691415, 38.6279691415
806, 6_116, 6_116, 0.0, 12127.9726, 100, 177.616665885, 177.616665885
807, 10_146, 10_146, 0.0, 12127.9726, 1369, 118.010395022, 118.010395022
808, 133_155, 133_155, 0.0, 12127.9726, 49, 264.954134396, 264.954134396
809, 97_116, 97_116, 0.0, 12127.9726, 9, 257.197693095, 257.197693095
810, 8_116, 8_116, 0.0, 12127.9726, 36, 202.303534324, 202.303534324
811, 0_135, 0_135, 0.0, 12127.9726, 529, 131.4, 131.4
812, 3_244, 3_244, 0.0, 12127.9726, 441, 190.547246984, 190.547246984
813, 50_206, 50_206, 0.0, 12127.9726, 484, 162.797092521, 162.797092521
814, 6_76, 6_76, 0.0, 12127.9726, 1600, 73.48505517, 73.48505517
815, 0_148, 0_148, 0.0, 12127.9726, 3364, 171.096386091, 171.096386091
816, 0_149, 0_149, 0.0, 12127.9726, 2916, 182.54866018, 182.54866018
817, 65_225, 65_225, 0.0, 12127.9726, 256, 174.183160304, 174.183160304
818, 49_135, 49_135, 0.0, 12127.9726, 1, 253.860933059, 253.860933059
819, 11_175, 11_175, 0.0, 12127.9726, 81, 258.025140894, 258.025140894
820, 98_164, 98_164, 0.0, 12127.9726, 900, 124.171548002, 124.171548002
821, 135_175, 135_175, 0.0, 12127.9726, 1, 292.12164133, 292.12164133
822, 158_166, 158_166, 0.0, 12127.9726, 2704, 117.103771644, 117.103771644
823, 6_281, 6_281, 0.0, 12127.9726, 144, 241.819960577, 241.819960577
824, 4_166, 4_166, 0.0, 12127.9726, 961, 127.558666242, 127.558666242
825, 0_134, 0_134, 0.0, 12127.9726, 729, 232.838341631, 232.838341631
826, 0_133, 0_133, 0.0, 12127.9726, 1296, 219.64793041, 219.64793041
827, 0_132, 0_132, 0.0, 12127.9726, 1936, 206.647171123, 206.647171123
828, 0_131, 0_131, 0.0, 12127.9726, 2601, 193.874220394, 193.874220394
829, 0_130, 0_130, 0.0, 12127.9726, 3249, 181.377212828, 181.377212828
830, 9_281, 9_281, 0.0, 12127.9726, 9, 263.340185565, 263.340185565
831, 152_155, 152_155, 0.0, 12127.9726, 81, 256.367574653, 256.367574653
832, 0_285, 0_285, 0.0, 12127.9726, 576, 223.496070062, 223.496070062
833, 0_284, 0_284, 0.0, 12127.9726, 729, 221.098831596, 221.098831596
834, 0_287, 0_287, 0.0, 12127.9726, 324, 231.00011544, 231.00011544
835, 0_286, 0_286, 0.0, 12127.9726, 441, 226.809641182, 226.809641182
836, 0_281, 0_281, 0.0, 12127.9726, 900, 219.64793041, 219.64793041
837, 0_280, 0_280, 0.0, 12127.9726, 16, 269.342631853, 269.342631853
838, 0_283, 0_283, 0.0, 12127.9726, 900, 219.64793041, 219.64793041
839, 0_282, 0_282, 0.0, 12127.9726, 961, 219.162162184, 219.162162184
840, 0_289, 0_289, 0.0, 12127.9726, 144, 241.819960577, 241.819960577
841, 0_288, 0_288, 0.0, 12127.9726, 225, 236.020790045, 236.020790045
842, 80_155, 80_155, 0.0, 12127.9726, 36, 265.356087802, 265.356087802
843, 4_187, 4_187, 0.0, 12127.9726, 841, 141.803008901, 141.803008901
844, 1_292, 1_292, 0.0, 12127.9726, 36, 248.343096005, 248.343096005
845, 155_229, 155_229, 0.0, 12127.9726, 100, 228.215015574, 228.215015574
846, 98_160, 98_160, 0.0, 12127.9726, 1024, 72.0200897898, 72.0200897898
847, 155_314, 155_314, 0.0, 12127.9726, 25, 190.919773727, 190.919773727
848, 9_295, 9_295, 0.0, 12127.9726, 9, 270.132880881, 270.132880881
849, 155_318, 155_318, 0.0, 12127.9726, 1, 240.346333444, 240.346333444
850, 155_319, 155_319, 0.0, 12127.9726, 1, 249.62726881, 249.62726881
851, 155_312, 155_312, 0.0, 12127.9726, 49, 168.375413882, 168.375413882
852, 155_313, 155_313, 0.0, 12127.9726, 36, 179.407803621, 179.407803621
853, 155_310, 155_310, 0.0, 12127.9726, 81, 148.17381685, 148.17381685
854, 8_187, 8_187, 0.0, 12127.9726, 441, 135.65696935, 135.65696935
855, 155_316, 155_316, 0.0, 12127.9726, 9, 215.071429995, 215.071429995
856, 155_317, 155_317, 0.0, 12127.9726, 4, 227.591476115, 227.591476115
857, 155_315, 155_315, 0.0, 12127.9726, 16, 202.829682246, 202.829682246
858, 22_38, 22_38, 0.0, 12127.9726, 841, 156.113078675, 156.113078675
859, 4_196, 4_196, 0.0, 12127.9726, 784, 190.547246984, 190.547246984
860, 4_176, 4_176, 0.0, 12127.9726, 784, 184.869287155, 184.869287155
861, 98_243, 98_243, 0.0, 12127.9726, 81, 185.444906464, 185.444906464
862, 21_22, 21_22, 0.0, 12127.9726, 81, 22.3018683821, 22.3018683821
863, 22_36, 22_36, 0.0, 12127.9726, 784, 184.869287155, 184.869287155
864, 22_37, 22_37, 0.0, 12127.9726, 784, 170.472324245, 170.472324245
865, 22_30, 22_30, 0.0, 12127.9726, 1024, 74.9213810159, 74.9213810159
866, 22_31, 22_31, 0.0, 12127.9726, 784, 60.7846471844, 60.7846471844
867, 22_32, 22_32, 0.0, 12127.9726, 529, 46.9324337035, 46.9324337035
868, 9_292, 9_292, 0.0, 12127.9726, 9, 211.238001632, 211.238001632
869, 10_196, 10_196, 0.0, 12127.9726, 1, 251.329292629, 251.329292629
