,sep,sep2,dT,peak,mult,bl1,bl2
404, 1_94, 1_94, 0.0, 12127.9726, 225, 125.876500322, 125.876500322
405, 0_50, 0_50, 0.0, 12127.9726, 225, 80.4105299904, 80.4105299904
406, 28_83, 28_83, 0.0, 12127.9726, 225, 102.2, 102.2
407, 2_45, 2_45, 0.0, 12127.9726, 225, 89.2074735285, 89.2074735285
408, 24_108, 24_108, 0.0, 12127.9726, 225, 102.2, 102.2
409, 0_27, 0_27, 0.0, 12127.9726, 225, 51.2735149305, 51.2735149305
410, 41_45, 41_45, 0.0, 12127.9726, 225, 110.227582755, 110.227582755
411, 0_89, 0_89, 0.0, 12127.9726, 225, 117.103771644, 117.103771644
412, 14_74, 14_74, 0.0, 12127.9726, 225, 121.569294369, 121.569294369
413, 14_75, 14_75, 0.0, 12127.9726, 225, 111.509341911, 111.509341911
414, 14_41, 14_41, 0.0, 12127.9726, 225, 51.2735149305, 51.2735149305
415, 0_38, 0_38, 0.0, 12127.9726, 225, 65.8350463912, 65.8350463912
416, 0_108, 0_108, 0.0, 12127.9726, 225, 135.65696935, 135.65696935
417, 24_66, 24_66, 0.0, 12127.9726, 225, 115.883907425, 115.883907425
418, 14_73, 14_73, 0.0, 12127.9726, 225, 132.477067198, 132.477067198
419, 24_91, 24_91, 0.0, 12127.9726, 225, 114.029645268, 114.029645268
420, 14_76, 14_76, 0.0, 12127.9726, 225, 102.547029861, 102.547029861
421, 0_63, 0_63, 0.0, 12127.9726, 225, 94.9935436403, 94.9935436403
422, 2_34, 2_34, 0.0, 12127.9726, 225, 74.9213810159, 74.9213810159
423, 1_70, 1_70, 0.0, 12127.9726, 225, 109.581081092, 109.581081092
424, 26_104, 26_104, 0.0, 12127.9726, 225, 95.7386024548, 95.7386024548
425, 14_64, 14_64, 0.0, 12127.9726, 225, 80.4105299904, 80.4105299904
426, 1_83, 1_83, 0.0, 12127.9726, 225, 117.103771644, 117.103771644
427, 14_72, 14_72, 0.0, 12127.9726, 225, 144.04017958, 144.04017958
428, 2_24, 2_24, 0.0, 12127.9726, 225, 60.7846471844, 60.7846471844
429, 14_52, 14_52, 0.0, 12127.9726, 225, 65.8350463912, 65.8350463912
430, 0_99, 0_99, 0.0, 12127.9726, 225, 125.876500322, 125.876500322
211, 0_49, 14_68, -0.0080000013113, 5417.5865051, 738, 73.48505517, 66.9056051464
541, 24_99, 0_63, -0.0130000021309, 7224.87446253, 300, 95.7386024548, 94.9935436403
467, 0_3, 4_14, -0.0080000013113, 5784.10840753, 432, 43.8, 44.6037367642
431, 14_53, 24_84, 0.011000001803, 5962.62147434, 456, 60.7846471844, 63.6399245757
644, 24_109, 24_109, 0.0, 12127.9726, 144, 110.227582755, 110.227582755
645, 30_57, 30_57, 0.0, 12127.9726, 144, 115.883907425, 115.883907425
646, 14_53, 14_53, 0.0, 12127.9726, 144, 60.7846471844, 60.7846471844
647, 14_85, 14_85, 0.0, 12127.9726, 144, 146.243130893, 146.243130893
648, 28_94, 28_94, 0.0, 12127.9726, 144, 105.282097244, 105.282097244
649, 14_87, 14_87, 0.0, 12127.9726, 144, 125.876500322, 125.876500322
650, 3_45, 3_45, 0.0, 12127.9726, 144, 99.3801455691, 99.3801455691
651, 14_86, 14_86, 0.0, 12127.9726, 144, 135.65696935, 135.65696935
652, 14_57, 14_57, 0.0, 12127.9726, 144, 156.113078675, 156.113078675
