f2A3 -> p2r2c1 -> r2B1Y -> sA1Y  -> a10Y 
f2A4 -> p2r1c1 -> r2B1X -> sA1X  -> a10X 
f2B1 -> p2r6c1 -> r3B1Y -> sE6Y  -> a91Y 
f2B2 -> p2r5c1 -> r3B1X -> sE6X  -> a91X 
f2B3 -> p2r2c2 -> r2B2Y -> sB3Y  -> a58Y 
f2B4 -> p2r1c2 -> r2B2X -> sB3X  -> a58X 
f2C1 -> p2r6c2 -> r3B2Y -> sC0Y  -> a72Y 
f2C2 -> p2r5c2 -> r3B2X -> sC0X  -> a72X 
f2C3 -> p2r6c3 -> r3B3Y -> sG6Y  -> a107Y
f2C4 -> p2r5c3 -> r3B3X -> sG6X  -> a107X
f2D1 -> p2r4c2 -> r3A2Y -> sG2Y  -> a105Y
f2D2 -> p2r3c2 -> r3A2X -> sG2X  -> a105X
f2D3 -> p2r4c3 -> r3A3Y -> sA0Y  -> a64Y 
f2D4 -> p2r3c3 -> r3A3X -> sA0X  -> a64X 
f2E1 -> p1r4c6 -> r1B6Y -> sD5Y  -> a42Y 
f2E2 -> p1r3c6 -> r1B6X -> sD5X  -> a42X 
f2E3 -> p1r2c6 -> r1A6Y -> sG1Y  -> a31Y 
f2E4 -> p1r1c6 -> r1A6X -> sG1X  -> a31X 
f2F1 -> p1r6c7 -> r2A7Y -> sE1Y  -> a43Y 
f2F2 -> p1r5c7 -> r2A7X -> sE1X  -> a43X 
f2F3 -> p1r4c7 -> r1B7Y -> sE5Y  -> a33Y 
f2F4 -> p1r3c7 -> r1B7X -> sE5X  -> a33X 
f2G1 -> p1r2c7 -> r1A7Y -> sF5Y  -> a15Y 
f2G2 -> p1r1c7 -> r1A7X -> sF5X  -> a15X 
f2G3 -> p1r6c8 -> r2A8Y -> sC1Y  -> a22Y 
f2G4 -> p1r5c8 -> r2A8X -> sC1X  -> a22X 
f2H1 -> p1r4c8 -> r1B8Y -> sB6Y  -> a47Y 
f2H2 -> p1r3c8 -> r1B8X -> sB6X  -> a47X 
f2H3 -> p1r2c8 -> r1A8Y -> sE3Y  -> a2Y  
f2H4 -> p1r1c8 -> r1A8X -> sE3X  -> a2X  
f3A1 -> p1r6c4 -> r2A4Y -> sA4Y  -> a41Y 
f3A2 -> p1r5c4 -> r2A4X -> sA4X  -> a41X 
f3A3 -> p1r4c4 -> r1B4Y -> sA8Y  -> a29Y 
f3A4 -> p1r3c4 -> r1B4X -> sA8X  -> a29X 
f3B1 -> p1r6c3 -> r2A3Y -> sA3Y  -> a3Y  
f3B2 -> p1r5c3 -> r2A3X -> sA3X  -> a3X  
f3B3 -> p1r2c4 -> r1A4Y -> sF3Y  -> a21Y 
f3B4 -> p1r1c4 -> r1A4X -> sF3X  -> a21X 
f3C1 -> p1r6c5 -> r2A5Y -> sA2Y  -> a49Y 
f3C2 -> p1r5c5 -> r2A5X -> sA2X  -> a49X 
f3C3 -> p1r4c5 -> r1B5Y -> sG7Y  -> a11Y 
f3C4 -> p1r3c5 -> r1B5X -> sG7X  -> a11X 
f3D1 -> p1r2c5 -> r1A5Y -> sG5Y  -> a8Y  
f3D2 -> p1r1c5 -> r1A5X -> sG5X  -> a8X  
f3D3 -> p1r6c6 -> r2A6Y -> sA5Y  -> a25Y 
f3D4 -> p1r5c6 -> r2A6X -> sA5X  -> a25X 
f3E1 -> p1r4c1 -> r1B1Y -> sA6Y  -> a19Y 
f3E2 -> p1r3c1 -> r1B1X -> sA6X  -> a19X 
f3E3 -> p1r2c1 -> r1A1Y -> sC3Y  -> a61Y 
f3E4 -> p1r1c1 -> r1A1X -> sC3X  -> a61X 
f3F1 -> p1r6c2 -> r2A2Y -> sF0Y  -> a96Y 
f3F2 -> p1r5c2 -> r2A2X -> sF0X  -> a96X 
