#srcname 	 ra 	 dec 	 flux [Jy] 	 sigma [Jy] 	 cat pos error ["] 	 catalog 
 J1659+470 	 16:59:26.91 	 47:02:48.9 	 0019.22 	 0009.82 	 0 	 helm,misc
 J1724+506 	 17:24:17.18 	 50:57:32.9 	 0019.23 	 0011.28 	 0 	 helm,misc
 J1830+484 	 18:29:29.36 	 48:44:49.6 	 0112.48 	 0031.84 	 0 	 helm,misc
 J1835+324 	 18:35:04.80 	 32:42:18.3 	 0043.25 	 0026.10 	 0 	 helm,misc
 J1844+453 	 18:44:00.25 	 45:33:38.7 	 0044.62 	 0024.91 	 0 	 helm,misc
 J1846+095 	 18:45:35.44 	 9:53:47.2 	 0080.18 	 0053.41 	 0 	 helm,misc
 J1940+604 	 19:40:22.65 	 60:41:40.1 	 0051.74 	 0030.56 	 0 	 helm,misc
 J2014+233 	 20:14:25.62 	 23:34:58.1 	 0089.87 	 0028.08 	 0 	 helm,misc
 J2020+294 	 20:20:04.43 	 29:42:16.5 	 0041.29 	 0019.31 	 0 	 helm,misc
 J2108+494 	 21:08:20.70 	 49:36:46.2 	 0037.35 	 0021.65 	 0 	 helm,misc
 J2118+605 	 21:18:16.76 	 60:48:23.0 	 0055.72 	 0030.03 	 0 	 helm,misc
 J2119+494 	 21:18:50.57 	 49:37:08.5 	 0040.60 	 0019.67 	 0 	 helm,misc
 J2124+250 	 21:23:42.97 	 25:04:19.7 	 0063.41 	 0031.65 	 0 	 helm,misc
 J2144+281 	 21:44:10.16 	 28:10:23.5 	 0025.91 	 0013.09 	 0 	 helm,misc
 J2156+380 	 21:55:50.83 	 38:00:33.8 	 0048.32 	 0016.10 	 0 	 helm,misc
 J2351+644 	 23:50:54.24 	 64:40:27.1 	 0051.23 	 0024.19 	 0 	 helm,misc
       her 	 16:51:06.10 	 4:59:38.2 	 0289.04 	 0078.21 	 0 	 helm,misc
       hyd 	 9:18:06.03 	 -12:05:42.2 	 1886.87 	 0128.92 	 0 	 helm,misc
