Name,Description,Feature Code,ECEFX,ECEFY,ECEFZ,Latitude,Longitude,Northing,Easting,Elevation,Ellipsoid Height,Horizontal Quality,Elevation Quality,Ellipsoid Height Quality,Point style,Layer
"d7s","","7",5109304.643,2005325.473,-3239974.158,30ø43'18.55030"S,21ø25'45.34673"E,6601148.133,541098.708,1086.465,1086.465,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,11:04:40 2 Dec 2011
"d7e","","7",5109304.826,2005327.468,-3239972.663,30ø43'18.49366"S,21ø25'45.41399"E,6601149.870,541100.504,1086.474,1086.474,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,11:05:39 2 Dec 2011
"c7e","","7",5109306.722,2005328.175,-3239969.168,30ø43'18.36255"S,21ø25'45.41270"E,6601153.906,541100.485,1086.428,1086.428,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,11:06:17 2 Dec 2011
"b7e","","7",5109308.602,2005328.883,-3239965.739,30ø43'18.23352"S,21ø25'45.41165"E,6601157.878,541100.472,1086.403,1086.403,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,11:06:58 2 Dec 2011
"a7e","","7",5109310.472,2005329.607,-3239962.272,30ø43'18.10350"S,21ø25'45.41130"E,6601161.881,541100.478,1086.356,1086.356,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,11:07:57 2 Dec 2011
"a7c","","7",5109312.006,2005328.377,-3239962.807,30ø43'18.10220"S,21ø25'45.34722"E,6601161.927,541098.774,1087.471,1087.471,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,11:08:57 2 Dec 2011
"a7c.2","","7",5109312.029,2005328.365,-3239962.771,30ø43'18.10090"S,21ø25'45.34649"E,6601161.967,541098.755,1087.467,1087.467,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,11:09:42 2 Dec 2011
"ar52n","","r",5109324.709,2005352.565,-3239925.151,30ø43'16.70853"S,21ø25'46.01894"E,6601204.761,541116.803,1085.996,1085.996,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,11:15:01 2 Dec 2011
"ar52w","","r",5109324.469,2005350.637,-3239926.678,30ø43'16.76651"S,21ø25'45.95480"E,6601202.983,541115.091,1085.978,1085.978,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,11:15:47 2 Dec 2011
"ar52s","","r",5109323.001,2005351.962,-3239928.154,30ø43'16.82234"S,21ø25'46.02131"E,6601201.258,541116.853,1085.974,1085.974,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,11:16:33 2 Dec 2011
"ar52e","","r",5109323.219,2005353.935,-3239926.610,30ø43'16.76393"S,21ø25'46.08731"E,6601203.049,541118.615,1085.979,1085.979,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,11:17:25 2 Dec 2011
"ar7n","","r",5109326.320,2005373.146,-3239909.601,30ø43'16.12492"S,21ø25'46.71679"E,6601222.656,541135.432,1085.805,1085.805,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,11:19:23 2 Dec 2011
"ar7w","","r",5109326.187,2005371.164,-3239911.079,30ø43'16.18025"S,21ø25'46.64927"E,6601220.960,541133.630,1085.831,1085.831,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,11:19:53 2 Dec 2011
"ar7s","","r",5109324.716,2005372.405,-3239912.627,30ø43'16.23864"S,21ø25'46.71289"E,6601219.156,541135.315,1085.835,1085.835,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,11:20:20 2 Dec 2011
"ar7e","","r",5109324.870,2005374.386,-3239911.182,30ø43'16.18391"S,21ø25'46.78006"E,6601220.834,541137.107,1085.842,1085.842,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,11:20:51 2 Dec 2011
"ar7c","","r",5109326.414,2005373.133,-3239911.666,30ø43'16.18119"S,21ø25'46.71504"E,6601220.924,541135.378,1086.931,1086.931,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,11:21:58 2 Dec 2011
"ar52c","","r",5109324.736,2005352.529,-3239927.175,30ø43'16.76481"S,21ø25'46.01732"E,6601203.029,541116.753,1087.040,1087.040,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,11:23:37 2 Dec 2011
"ar44n","","r",5109344.286,2005323.845,-3239911.833,30ø43'16.20861"S,21ø25'44.74549"E,6601220.280,541082.994,1085.838,1085.838,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,11:25:15 2 Dec 2011
"ar44s","","r",5109342.667,2005323.189,-3239914.855,30ø43'16.32190"S,21ø25'44.74477"E,6601216.793,541082.962,1085.880,1085.880,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,11:25:53 2 Dec 2011
"ar44c","","r",5109344.326,2005323.864,-3239913.905,30ø43'16.26569"S,21ø25'44.74561"E,6601218.523,541082.991,1086.934,1086.934,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,11:27:56 2 Dec 2011
"base0","","",5109354.031,2005240.463,-3239949.512,30ø43'17.61503"S,21ø25'41.69487"E,6601177.296,541001.696,1086.697,1086.697,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,13:28:00 20 May 2010
"base0","","",5109354.031,2005240.463,-3239949.512,30ø43'17.61503"S,21ø25'41.69487"E,6601177.296,541001.696,1086.697,1086.697,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,12:11:47 18 May 2010
"base0","","",5109354.031,2005240.463,-3239949.512,30ø43'17.61503"S,21ø25'41.69487"E,6601177.296,541001.696,1086.697,1086.697,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,12:49:08 18 May 2010
"p0n","","pol-gs0 n",5109324.542,2005372.189,-3239910.404,30ø43'16.18059"S,21ø25'46.70770"E,6601220.943,541135.183,1084.492,1084.492,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,12:49:08 18 May 2010
"pol-gs0 n","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"p0s","","pol-gs0 s",5109322.895,2005371.546,-3239913.446,30ø43'16.29483"S,21ø25'46.70781"E,6601217.426,541135.173,1084.526,1084.526,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,12:52:57 18 May 2010
"pol-gs0 s","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"pol-gs1 s","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"p1n","","pol-gs1 n",5109355.682,2005293.497,-3239909.939,30ø43'16.16367"S,21ø25'43.52741"E,6601221.788,541050.604,1084.458,1084.458,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,12:58:28 18 May 2010
"pol-gs1 n","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"p2s","","pol-gs2 n",5109386.513,2005214.272,-3239910.257,30ø43'16.17660"S,21ø25'40.33269"E,6601221.714,540965.637,1084.411,1084.411,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,13:02:17 18 May 2010
"pol-gs2 n","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"p2ss","","pol-gs2 s",5109385.611,2005213.938,-3239911.899,30ø43'16.23838"S,21ø25'40.33341"E,6601219.812,540965.649,1084.423,1084.423,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,13:03:49 18 May 2010
"pol-gs2 s","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"p3s","","pol-gs3",5109416.528,2005134.648,-3239912.152,30ø43'16.24852"S,21ø25'37.13523"E,6601219.824,540880.590,1084.392,1084.392,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,13:06:37 18 May 2010
"pol-gs3 s","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"p3n","","pol-gn3",5109417.448,2005135.008,-3239910.450,30ø43'16.18464"S,21ø25'37.13521"E,6601221.791,540880.597,1084.372,1084.372,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,13:08:21 18 May 2010
"pol-gs3 n","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"test1","","",5109356.006,2005240.647,-3239949.309,30ø43'17.57775"S,21ø25'41.67417"E,6601178.445,541001.150,1088.232,1088.232,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,11:17:32 20 May 2010
"p3o","","",5109356.383,2005291.760,-3239913.345,30ø43'16.25844"S,21ø25'43.45701"E,6601218.878,541048.720,1086.214,1086.214,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,13:28:00 20 May 2010
"p3p","","",5109356.511,2005293.774,-3239911.899,30ø43'16.20389"S,21ø25'43.52570"E,6601220.550,541050.553,1086.210,1086.210,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,13:28:21 20 May 2010
"p3q","","",5109355.015,2005295.070,-3239913.447,30ø43'16.26235"S,21ø25'43.59159"E,6601218.743,541052.299,1086.211,1086.211,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,13:28:43 20 May 2010
"p3r","","",5109354.857,2005293.063,-3239914.978,30ø43'16.31969"S,21ø25'43.52353"E,6601216.985,541050.482,1086.236,1086.236,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,13:29:03 20 May 2010
"p3t","","",5109387.153,2005212.590,-3239913.717,30ø43'16.27347"S,21ø25'40.26508"E,6601218.739,540963.827,1086.162,1086.162,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,13:30:28 20 May 2010
"p3u","","",5109387.344,2005214.583,-3239912.148,30ø43'16.21465"S,21ø25'40.33215"E,6601220.543,540965.618,1086.139,1086.139,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,13:30:45 20 May 2010
"p3v","","",5109385.860,2005215.939,-3239913.668,30ø43'16.27179"S,21ø25'40.40000"E,6601218.777,540967.416,1086.154,1086.154,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,13:31:06 20 May 2010
"p3w","","",5109385.654,2005213.985,-3239915.234,30ø43'16.33051"S,21ø25'40.33447"E,6601216.976,540965.666,1086.176,1086.176,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,13:31:26 20 May 2010
"p3x","","",5109418.113,2005133.313,-3239913.916,30ø43'16.28138"S,21ø25'37.06677"E,6601218.820,540878.766,1086.142,1086.142,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,13:32:43 20 May 2010
"p3y","","",5109418.270,2005135.308,-3239912.388,30ø43'16.22422"S,21ø25'37.13441"E,6601220.572,540880.571,1086.114,1086.114,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,13:32:59 20 May 2010
"p3z","","",5109416.797,2005136.667,-3239913.899,30ø43'16.28091"S,21ø25'37.20218"E,6601218.820,540882.367,1086.134,1086.134,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,13:33:13 20 May 2010
"p4A","","",5109416.591,2005134.638,-3239915.480,30ø43'16.34051"S,21ø25'37.13401"E,6601216.993,540880.547,1086.140,1086.140,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,13:33:35 20 May 2010
"g37s","","gs37 s",5109415.515,2005142.818,-3239912.041,30ø43'16.21157"S,21ø25'37.43495"E,6601220.931,540888.566,1086.090,1086.090,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,13:41:01 20 May 2010
"gs37 s","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"g37n","","gs37 n",5109416.448,2005143.155,-3239910.336,30ø43'16.14753"S,21ø25'37.43394"E,6601222.903,540888.546,1086.072,1086.072,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,13:42:40 20 May 2010
"gs37 n","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
