Name,Description,Feature Code,ECEFX,ECEFY,ECEFZ,Latitude,Longitude,Northing,Easting,Elevation,Ellipsoid Height,Horizontal Quality,Elevation Quality,Ellipsoid Height Quality,Point style,Layer
"ar15n","","r",5109431.725,2005166.755,-3239870.338,30ø43'14.65233"S,21ø25'38.04977"E,6601268.869,540905.100,1085.276,1085.276,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa32m,16:34:45 2 Dec 2011
"ar15s","","r",5109430.031,2005166.203,-3239873.383,30ø43'14.76680"S,21ø25'38.05372"E,6601265.344,540905.192,1085.302,1085.302,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa32m,16:35:16 2 Dec 2011
"ar45n","","r",5109433.124,2005213.519,-3239838.837,30ø43'13.46815"S,21ø25'39.66646"E,6601305.158,540948.236,1084.989,1084.989,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa32m,16:36:45 2 Dec 2011
"ar45s","","r",5109431.493,2005212.864,-3239841.872,30ø43'13.58201"S,21ø25'39.66593"E,6601301.653,540948.209,1085.029,1085.029,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa32m,16:37:22 2 Dec 2011
"ar20n","","r",5109429.470,2005241.685,-3239827.129,30ø43'13.02713"S,21ø25'40.70190"E,6601318.629,540975.826,1084.930,1084.930,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa32m,16:38:31 2 Dec 2011
"ar20s","","r",5109427.798,2005241.066,-3239830.152,30ø43'13.14109"S,21ø25'40.70319"E,6601315.121,540975.847,1084.942,1084.942,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa32m,16:40:43 2 Dec 2011
"a5c","","5",5109333.754,2005272.464,-3239963.063,30ø43'18.11240"S,21ø25'43.09269"E,6601161.843,541038.813,1087.444,1087.444,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa32m,16:50:09 2 Dec 2011
"a6c","","5",5109322.869,2005300.325,-3239963.024,30ø43'18.11054"S,21ø25'44.21678"E,6601161.786,541068.709,1087.464,1087.464,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa32m,16:51:50 2 Dec 2011
"a4c","","5",5109344.727,2005244.373,-3239963.094,30ø43'18.11406"S,21ø25'41.95938"E,6601161.907,541008.672,1087.418,1087.418,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa32m,17:02:26 2 Dec 2011
"se hut corner","","0",5109359.174,2005245.114,-3239945.151,30ø43'17.38573"S,21ø25'41.78693"E,6601184.345,541004.171,1090.046,1090.046,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,15:48:45 2 Dec 2011
"se hut corner","","0",5109359.174,2005245.114,-3239945.151,30ø43'17.38573"S,21ø25'41.78693"E,6601184.345,541004.171,1090.046,1090.046,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,13:25:04 30 Nov 2011
"se hut corner","","0",5109359.174,2005245.114,-3239945.151,30ø43'17.38573"S,21ø25'41.78693"E,6601184.345,541004.171,1090.046,1090.046,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,10:26:32 30 Nov 2011
"se hut corner","","0",5109359.174,2005245.114,-3239945.151,30ø43'17.38573"S,21ø25'41.78693"E,6601184.345,541004.171,1090.046,1090.046,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,16:45:53 30 Nov 2011
"se hut corner","","0",5109359.174,2005245.114,-3239945.151,30ø43'17.38573"S,21ø25'41.78693"E,6601184.345,541004.171,1090.046,1090.046,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,10:21:49 2 Dec 2011
"se hut corner","","0",5109359.174,2005245.114,-3239945.151,30ø43'17.38573"S,21ø25'41.78693"E,6601184.345,541004.171,1090.046,1090.046,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,11:42:52 25 Jun 2011
"se hut corner","","0",5109359.174,2005245.114,-3239945.151,30ø43'17.38573"S,21ø25'41.78693"E,6601184.345,541004.171,1090.046,1090.046,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,11:43:02 25 Jun 2011
"se hut corner","","0",5109359.174,2005245.114,-3239945.151,30ø43'17.38573"S,21ø25'41.78693"E,6601184.345,541004.171,1090.046,1090.046,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,12:32:47 25 Jun 2011
"a0","","",5109387.764,2005132.416,-3239962.037,30ø43'18.09844"S,21ø25'37.45203"E,6601162.845,540888.799,1086.158,1086.158,Survey quality,Survey quality,Unknown quality,<By Layer>,Default,13:25:55 30 Nov 2011
"pad sw","","",5109357.661,2005226.591,-3239951.219,30ø43'17.69066"S,21ø25'41.15976"E,6601175.022,540987.455,1086.118,1086.118,Survey quality,Survey quality,Unknown quality,<By Layer>,Default,13:27:57 30 Nov 2011
"pad se","","",5109350.903,2005245.751,-3239950.129,30ø43'17.64850"S,21ø25'41.92277"E,6601176.242,541007.753,1086.170,1086.170,Survey quality,Survey quality,Unknown quality,<By Layer>,Default,13:28:39 30 Nov 2011
"A1","","",5109376.857,2005160.368,-3239961.938,30ø43'18.09473"S,21ø25'38.57960"E,6601162.845,540918.787,1086.158,1086.158,Survey quality,Survey quality,Unknown quality,<By Layer>,Default,
"A2","","",5109365.950,2005188.320,-3239961.840,30ø43'18.09102"S,21ø25'39.70717"E,6601162.845,540948.776,1086.158,1086.158,Survey quality,Survey quality,Unknown quality,<By Layer>,Default,
"A3","","",5109355.043,2005216.273,-3239961.742,30ø43'18.08730"S,21ø25'40.83474"E,6601162.845,540978.765,1086.158,1086.158,Survey quality,Survey quality,Unknown quality,<By Layer>,Default,
"aa4","","",5109344.136,2005244.225,-3239961.643,30ø43'18.08358"S,21ø25'41.96231"E,6601162.845,541008.753,1086.158,1086.158,Survey quality,Survey quality,Unknown quality,<By Layer>,Default,
"A5","","",5109333.228,2005272.177,-3239961.545,30ø43'18.07986"S,21ø25'43.08988"E,6601162.845,541038.742,1086.158,1086.158,Survey quality,Survey quality,Unknown quality,<By Layer>,Default,
"A6","","",5109322.321,2005300.129,-3239961.446,30ø43'18.07613"S,21ø25'44.21745"E,6601162.845,541068.731,1086.158,1086.158,Survey quality,Survey quality,Unknown quality,<By Layer>,Default,
"A7","","",5109311.413,2005328.081,-3239961.347,30ø43'18.07241"S,21ø25'45.34502"E,6601162.845,541098.719,1086.158,1086.158,Survey quality,Survey quality,Unknown quality,<By Layer>,Default,
"D0","","",5109381.086,2005129.852,-3239974.074,30ø43'18.55305"S,21ø25'37.45403"E,6601148.850,540888.799,1086.158,1086.158,Survey quality,Survey quality,Unknown quality,<By Layer>,Default,
"D1","","",5109370.179,2005157.805,-3239973.976,30ø43'18.54933"S,21ø25'38.58160"E,6601148.850,540918.787,1086.158,1086.158,Survey quality,Survey quality,Unknown quality,<By Layer>,Default,
"D2","","",5109359.272,2005185.757,-3239973.877,30ø43'18.54562"S,21ø25'39.70917"E,6601148.850,540948.776,1086.158,1086.158,Survey quality,Survey quality,Unknown quality,<By Layer>,Default,
"D3","","",5109348.365,2005213.709,-3239973.779,30ø43'18.54190"S,21ø25'40.83674"E,6601148.850,540978.765,1086.158,1086.158,Survey quality,Survey quality,Unknown quality,<By Layer>,Default,
"D4","","",5109337.457,2005241.661,-3239973.680,30ø43'18.53819"S,21ø25'41.96432"E,6601148.850,541008.753,1086.158,1086.158,Survey quality,Survey quality,Unknown quality,<By Layer>,Default,
"D5","","",5109326.550,2005269.613,-3239973.582,30ø43'18.53446"S,21ø25'43.09189"E,6601148.850,541038.742,1086.158,1086.158,Survey quality,Survey quality,Unknown quality,<By Layer>,Default,
"D6","","",5109315.642,2005297.566,-3239973.483,30ø43'18.53074"S,21ø25'44.21946"E,6601148.850,541068.731,1086.158,1086.158,Survey quality,Survey quality,Unknown quality,<By Layer>,Default,
"D7","","",5109304.735,2005325.518,-3239973.384,30ø43'18.52701"S,21ø25'45.34703"E,6601148.850,541098.719,1086.158,1086.158,Survey quality,Survey quality,Unknown quality,<By Layer>,Default,
"a0m","","a0",5109387.825,2005132.451,-3239962.056,30ø43'18.09782"S,21ø25'37.45242"E,6601162.864,540888.809,1086.227,1086.227,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,16:45:53 30 Nov 2011
"d0m","","D0",5109381.283,2005129.882,-3239974.222,30ø43'18.55397"S,21ø25'37.45235"E,6601148.822,540888.754,1086.400,1086.400,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,16:46:53 30 Nov 2011
"d1m","","D1",5109370.349,2005157.931,-3239974.100,30ø43'18.54941"S,21ø25'38.58370"E,6601148.847,540918.843,1086.397,1086.397,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,16:50:29 30 Nov 2011
"a1m","","A1",5109376.966,2005160.350,-3239961.979,30ø43'18.09429"S,21ø25'38.57747"E,6601162.858,540918.731,1086.260,1086.260,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,16:51:51 30 Nov 2011
"a2m","","A2",5109366.086,2005188.353,-3239961.892,30ø43'18.09017"S,21ø25'39.70643"E,6601162.871,540948.756,1086.303,1086.303,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,16:53:26 30 Nov 2011
"d2m","","D2",5109359.466,2005185.846,-3239974.052,30ø43'18.54696"S,21ø25'39.70961"E,6601148.809,540948.787,1086.430,1086.430,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,16:54:24 30 Nov 2011
"d3m","","D3",5109348.560,2005213.764,-3239973.918,30ø43'18.54246"S,21ø25'40.83599"E,6601148.833,540978.745,1086.402,1086.402,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,16:57:24 30 Nov 2011
"a3m","","A3",5109355.144,2005216.309,-3239961.807,30ø43'18.08734"S,21ø25'40.83462"E,6601162.843,540978.762,1086.282,1086.282,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,16:58:24 30 Nov 2011
"a4m","","aa4",5109344.194,2005244.217,-3239961.694,30ø43'18.08416"S,21ø25'41.96121"E,6601162.827,541008.724,1086.228,1086.228,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,17:01:16 30 Nov 2011
"d4m","","D4",5109337.651,2005241.728,-3239973.825,30ø43'18.53882"S,21ø25'41.96401"E,6601148.830,541008.745,1086.407,1086.407,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,17:03:25 30 Nov 2011
"d5m","","D5",5109326.753,2005269.742,-3239973.752,30ø43'18.53530"S,21ø25'43.09360"E,6601148.824,541038.787,1086.448,1086.448,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,17:05:02 30 Nov 2011
"a5m","","A5",5109333.363,2005272.250,-3239961.587,30ø43'18.07853"S,21ø25'43.09058"E,6601162.885,541038.761,1086.310,1086.310,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,17:06:19 30 Nov 2011
"p1s","","pol-gs1 s",5109354.777,2005293.058,-3239911.702,30ø43'16.22950"S,21ø25'43.52449"E,6601219.761,541050.518,1084.497,1084.497,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,12:57:24 18 May 2010
